,num_above_peaks_AF3,num_above_peaks_AF4,variance_AF3,variance_AF4,label
137,2,2,9898.22975504483,5348.878217673999,double_blink
138,2,2,35253.9538119149,14768.407956834613,double_blink
139,4,2,26390.926151883752,8917.010293918049,double_blink
140,3,2,56516.66902679627,11679.428969190212,double_blink
141,2,1,26012.07673308795,8509.898874206561,double_blink
142,2,2,29580.313365414,7747.860023579881,double_blink
143,3,3,32833.91043951439,12608.464709844347,double_blink
144,2,3,62689.67343604602,12371.205919462114,double_blink
145,2,2,12720.256528299613,4303.626878492973,double_blink
146,3,3,44916.845070151976,14930.377835492416,double_blink
147,2,2,22117.18179373124,6321.788080606211,double_blink
148,2,2,16938.33742465822,7527.6425414459145,double_blink
149,2,2,139977.7725854509,12647.176670505483,double_blink
150,4,3,26959.155462948387,10658.62009157937,double_blink
151,3,3,35431.864810131745,13408.817755654967,double_blink
152,2,4,39708.474973608725,9505.630881431907,double_blink
153,2,4,87750.30943937604,23367.386148863126,double_blink
154,2,4,37008.84471451551,9592.328781778144,double_blink
155,2,2,115336.20756526852,30397.4481793277,double_blink
156,3,2,50316.31744824395,8468.99561870735,double_blink
157,4,4,37505.34745852383,10385.852402969853,double_blink
158,4,2,1643197.1566375252,78663.12836565037,double_blink
159,2,4,39631.77482895199,15257.302738089487,double_blink
160,3,3,29419.644782991476,12221.590794062266,double_blink
161,3,3,20248.289099843267,6293.0778130408735,double_blink
162,2,2,32144.603971000502,8932.458256799939,double_blink
163,2,2,60409.6915970145,10492.510701040848,double_blink
164,3,2,1664578.6779340287,45377.565450462185,double_blink
165,3,3,16357.51680733173,5677.320064628232,double_blink
166,2,2,63159.8674920529,93283.30943857793,double_blink
167,3,0,37490.01960735098,21674.869150395076,double_blink
168,4,2,1052083.6908782132,40362.16034905314,double_blink
169,4,3,2248829.8596928,48244.413421182464,double_blink
170,3,0,25073.071523743958,11141.50311396315,double_blink
171,3,3,24963.62026076155,7870.382250596752,double_blink
172,3,1,641067.2288132786,15557.412898789205,double_blink
173,4,4,30457.001000636683,12495.365395604213,double_blink
174,3,2,652336.2117200161,18485.541523540556,double_blink
175,3,3,72400.16066339167,26554.84616983435,double_blink
176,2,2,1014502.8457958222,17549.781444390366,double_blink
177,2,3,28936.052070041915,10429.658031205317,double_blink
178,4,4,45893.755682337905,17653.252722813148,double_blink
179,4,1,18148.173614693867,7071.2329331086685,double_blink
180,3,3,66238.7136310152,28705.186735901378,double_blink
181,2,2,15742.933001350246,4700.952015339387,double_blink
182,3,3,40053.04014529121,15019.989934135905,double_blink
183,3,3,27072.9944385954,6285.638486113608,double_blink
184,2,3,22256.804491302908,6034.827398810182,double_blink
185,2,2,31854.60214278441,9049.960636004256,double_blink
186,2,4,33477.25509288323,8041.700255818626,double_blink
187,2,2,16110.512099113634,7496.066763521948,double_blink
188,4,4,34328.929360812814,14178.994108621506,double_blink
189,2,2,33231.967760929256,11383.68264547927,double_blink
190,3,3,62465.70376369991,10685.517987861655,double_blink
191,2,2,34813.89631760243,10465.77413541298,double_blink
192,3,4,60237.25993413915,24746.30363368748,double_blink
193,2,3,76778.0226064434,12670.634945562173,double_blink
194,0,2,3004375.5150760342,74613.26289444046,double_blink
195,3,3,42977.142272865334,18776.827687404068,double_blink
196,4,3,31004.86292864395,8625.710132213779,double_blink
197,2,2,35504.04687000989,14084.443301216781,double_blink
198,2,2,100243.57702572262,25017.507650845153,double_blink
199,2,1,73568.95866761981,20452.921846791665,double_blink
200,4,4,46348.804470026465,9769.764338572611,double_blink
201,2,1,31692.516435399142,6892.50124462447,double_blink
202,1,2,117984.07797494529,8072.2939614329725,double_blink
203,3,2,48196.30823659792,19963.93607125203,double_blink
204,3,3,37959.0221041283,14326.755714121518,double_blink
205,3,3,51729.266787844856,20657.67232303079,double_blink
206,3,2,1210591.6728707987,17065.01855916055,double_blink
207,2,2,18743.52897575554,8035.598720831546,double_blink
208,2,2,27645.1395066055,8827.956583450154,double_blink
209,3,3,37295.512905731244,14953.646041842645,double_blink
210,2,2,25932.438239153787,8360.98078999775,double_blink
211,4,3,39783.20945348993,10243.81935122788,double_blink
212,0,1,85793.23480004827,22815.971826179175,double_blink
213,2,3,21536.554655978245,5890.488212229185,double_blink
214,2,2,59443.50012160416,15670.089479524677,double_blink
215,2,2,46702.07032574808,7829.635902685291,double_blink
216,3,3,1033012.4076396329,13184.395690308002,double_blink
